greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
1102127036;712703352;1098918287;708407913
1118155031;675239793;1147153056;721576632
1111498489;653606707;1107772216;674142608
1132941678;668899683;1089028848;755779369
1086936946;732420072;1139433159;724081469
1232161214;682835640;1229170947;772009921
1141427347;678934767;1156541594;757067042
1079991293;707087647;1087042209;709204041
1060774074;691904835;1194386188;745375047
1115784152;676707253;1134693911;704795759
1195943852;672503929;1208451468;678803269
1095255437;687629502;1214490290;689505041
1077240933;690500198;1040031756;698455601
1211643236;738430905;1125431973;670074452
1092091782;666586876;1047705924;717578273
1068207292;688785120;1106979914;747006593
1075051305;643305093;1123735531;713425300
1067455574;757462243;1111959822;689664714
1033753574;711335070;1154909224;702367296
1112651154;679734434;1174420046;706741619
1072043919;749322333;1230947082;723005919
1139406160;718586812;1099649556;710235794
1093229483;725699138;1167751317;720805002
1082754711;726161479;1094054763;687477166
1193573619;701332701;1136210049;725291504
1242726506;710142079;1158641891;686556135
