greedy - jakość rozwiązania początkowego;greedy - jakość rozwiązania końcowego;steepest - jakość rozwiązania początkowego;steepest - jakość rozwiązania końcowego
611905;564904;634971;565122
616656;560755;618364;569011
618137;565526;617038;567156
621666;563894;619135;565287
615342;567472;626337;564791
625218;567562;621606;566739
619227;569654;625528;567184
619155;565044;617721;564469
625523;567546;622571;566159
621095;562232;615976;566558
614987;564911;621890;567494
621285;564500;624340;566907
619668;563104;633212;567073
626680;564433;619248;567607
616443;572924;626676;567956
616693;564204;621679;563892
622957;564174;609057;567312
616294;567559;617467;476581
630854;566136;622165;569652
619311;563943;613370;571946
623182;570925;623691;570688
633016;567638;627898;567165
620200;570142;614898;572933
618331;570795;612933;563373
625746;567221;618731;565645
622283;561184;617574;567039
620295;565625;624409;566888
633611;560034;617772;571197
624517;566395;626626;563860
622300;565170;611390;563781
624627;569281;616645;567436
616692;565355;617556;567730
622231;566839;613496;563423
620967;568874;621927;572255
619334;562882;619058;568549
619766;567792;621929;567660
625690;564325;619636;567068
631332;567061;632255;571190
623524;567446;613714;563805
621471;564692;616251;568581
621061;567256;622832;566932
609442;564309;624286;566595
617162;570224;641404;560860
616475;567307;627686;566488
613988;571216;622934;566208
626472;565416;624322;566959
625591;567052;626742;562980
616318;566123;622832;573791
631706;565353;623758;563422
610445;563452;619364;569566
614932;566211;621737;563855
623867;567218;613328;568808
627108;564731;622431;571720
625496;565447;621250;563882
616514;565697;615195;566515
621336;573508;624262;568040
615322;567687;624926;565549
627628;570704;618947;562188
621078;564938;622496;564299
627474;566549;620095;569777
622460;565749;620749;569007
625952;565157;617459;567829
619452;564938;635540;567817
633743;566803;620242;567636
619474;562285;626498;566354
618437;562016;625758;566485
623720;563234;616337;570988
619059;565234;617680;568586
620641;476581;623893;561272
619273;565794;625342;568160
615918;564400;623179;566952
622440;569725;614720;566389
621338;562471;628510;563341
628643;567368;618286;561362
625617;564342;609372;565830
611645;567074;626322;566655
626628;562046;616915;565014
620974;566884;615988;566388
608823;565814;628289;567584
626745;565201;612889;570029
623888;476581;623381;574651
623467;569090;622480;566691
610279;563251;633527;568777
631637;563915;613528;565742
610752;557930;622514;566683
625659;476581;613856;565532
618792;564662;611229;570180
614250;565173;623813;568986
618231;565133;621171;564484
616710;570172;622322;567552
615729;565542;622171;565745
624335;561500;619640;565133
619496;565582;619153;569079
625437;567676;617270;565855
617604;567026;629287;476581
619083;564561;628334;568633
623633;476581;625873;562989
616191;567092;616825;570883
624890;565888;628680;562660
618706;565494;609130;562771
627602;568545;618007;567690
626816;476581;615509;565191
616032;565532;620410;566735
620764;566459;613308;574987
627595;565091;621692;476581
618650;569755;628120;564965
613865;565014;614757;476581
615353;564321;624139;565241
617388;566790;624214;562809
619515;563309;619362;566197
622514;563463;627338;571331
620308;565782;627271;567242
621273;567131;618845;563161
622454;562288;621021;561726
620850;565895;617947;567316
618149;476581;623283;565182
616184;569539;625809;565576
622102;559314;610640;565520
620085;565390;612768;567573
619029;568124;615391;558455
619797;562875;616128;565361
623976;567163;624309;565751
623258;562737;621982;564611
627062;565127;628214;569111
620492;564289;615250;564301
624957;568940;627688;564195
620129;567922;615352;571306
621894;558296;626727;566096
629437;565503;623478;564830
621184;568295;621912;566496
625722;566418;621492;563647
621536;564644;621733;567363
624878;564792;626320;565589
619382;565467;621818;563052
614761;558183;626466;567009
621061;567408;608132;568791
618835;558393;616500;568651
616159;569077;615057;564090
623768;571623;623634;568732
614718;563736;606001;568796
623265;567840;621716;568968
623510;564207;615681;565891
619378;565280;615722;563598
620388;562956;620214;562154
617497;565960;625298;571031
615793;570821;632400;565265
633658;561582;628409;569954
625989;568204;610742;558338
619979;564977;620689;566485
630088;561971;618180;563350
616256;566792;613889;566692
612634;564505;617438;561420
619499;569517;622004;566065
625903;569646;626056;566126
619286;568447;626969;565796
614923;563380;613595;569809
622158;563183;616917;566155
621012;566003;626422;567628
614786;561741;627401;570907
607637;563716;619755;572313
616994;569946;623237;568035
623408;563264;619848;563767
620404;565326;625569;566900
617924;566576;614452;564101
623528;565903;618047;564969
624264;568243;620123;568187
616318;568997;620832;563477
620877;559818;619189;563685
610779;570977;618722;567303
618876;565709;621044;566213
627590;562655;622908;565255
623300;565473;609055;565623
625620;569786;626143;570639
621203;568636;608925;569532
626295;567272;618221;569598
610329;566593;618244;566087
623114;563870;618683;570875
626306;564467;610954;566039
618615;564341;614833;566078
624922;565416;627735;571470
620584;567486;614980;568132
609613;567961;617133;476581
611826;565730;623130;570377
622785;570648;632152;566693
624912;567198;622204;567048
611809;568101;628253;561702
616522;564521;610581;476581
622335;565450;619709;566546
620584;563238;620077;565275
619841;566330;612186;567278
622519;564418;615698;562813
624235;561179;625566;565077
620727;570609;625213;565841
613068;567412;610478;566710
615533;566478;627251;569476
623652;565445;621943;567112
607852;570055;620964;564627
618891;572249;616573;569648
627139;568793;613489;565216
631732;565293;626395;559275
