Algorithm Name;Problem File Name;Problem Size;Optimum;Value;Distance from optimum;Measure;Execution Time;Evaluated states number
Simulated Anneling;sko81;81;90998;105964;14966;0.16446515308028747;56083879;5983
Simulated Anneling;sko81;81;90998;93636;2638;0.028989648124134595;323805698;26343
Tabu search;sko81;81;90998;92118;1120;0.012307962812369502;110501787295;19022310
Tabu search;sko81;81;90998;91580;582;0.006395744961427724;104983937356;17972067
Tabu search;sko81;81;90998;91522;524;0.00575836831578716;117995971333;19804392
Tabu search;sko81;81;90998;91444;446;0.004901206619925712;188347607149;31365864
Tabu search;sko81;81;90998;91832;834;0.009165036594210862;155933157318;26464709
Tabu search;sko81;81;90998;91626;628;0.006901250576935757;129534904265;21797114
Tabu search;sko81;81;90998;91378;380;0.004175915954196796;153185871527;25706833
Tabu search;sko81;81;90998;91668;670;0.007362799182399613;132395112370;22234216
Tabu search;sko81;81;90998;91182;184;0.0020220224620321327;186138772606;30403645
Tabu search;sko81;81;90998;91792;794;0.008725466493769094;106159436560;17241148
Tabu search;sko81;81;90998;91678;680;0.007472691707510055;140284473191;23681033
Tabu search;sko81;81;90998;91850;852;0.009362843139409657;124836961599;20363495
Tabu search;sko81;81;90998;91610;612;0.0067254225367590495;147220479562;23760467
Tabu search;sko81;81;90998;91984;986;0.01083540297588958;96386138028;15367162
Tabu search;sko81;81;90998;91396;398;0.004373722499395591;124423426296;19772654
